ZIP_CODE,STATE_NAME,PARENT_NAME,PARENT_ID,PAYER_NAME,PAYER_ID,OVERALL,COMMERCIAL,COMMERCIAL_FI,FI_HMO,FI_PPO,FI_POS,FI_INDEMNITY,PUBLIC_HIX_INDIVIDUAL,PUBLIC_HIX_SHOP,FI_CDHP,COMMERCIAL_SI,SI_HMO,SI_PPO,SI_POS,SI_INDEMNITY,SI_CDHP,MEDICARE_ADVANTAGE_PART_C,PAYER_MANAGED_MEDICAID,MGD_MEDICAID_TITLE_19,MGD_MEDICAID_TITLE_21_CHIP,MGD_MEDICAID_SPECIALTY_PROGRAMS,MANAGED_MEDICAID_DUAL_ELIGIBLE,TRICARE,CREATED_AT
54529,Wisconsin,Molina Healthcare,1142,,,8,8,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
54773,Wisconsin,Molina Healthcare,1142,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,2026-03-02 08:27:02.243 -0500
60407,Illinois,Molina Healthcare,1142,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,0,0,0,0,2026-03-02 08:27:02.243 -0500
60941,Illinois,Molina Healthcare,1142,,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,28,0,0,0,0,2026-03-02 08:27:02.243 -0500
61079,Illinois,Molina Healthcare,1142,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2026-03-02 08:27:02.243 -0500
61377,Illinois,Molina Healthcare,1142,,,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,39,0,0,3,0,2026-03-02 08:27:02.243 -0500
61547,Illinois,Molina Healthcare,1142,,,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,147,144,0,1,9,0,2026-03-02 08:27:02.243 -0500
62059,Illinois,Molina Healthcare,1142,,,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,56,55,0,1,1,0,2026-03-02 08:27:02.243 -0500
62671,Illinois,Molina Healthcare,1142,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2026-03-02 08:27:02.243 -0500
62987,Illinois,Molina Healthcare,1142,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2026-03-02 08:27:02.243 -0500
68423,Nebraska,Molina Healthcare,1142,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2026-03-02 08:27:02.243 -0500
