STATE_NAME,PARENT_NAME,PARENT_ID,PAYER_NAME,PAYER_ID,OVERALL,COMMERCIAL,COMMERCIAL_FI,FI_HMO,FI_PPO,FI_POS,FI_INDEMNITY,PUBLIC_HIX_INDIVIDUAL,PUBLIC_HIX_SHOP,FI_CDHP,COMMERCIAL_SI,SI_HMO,SI_PPO,SI_POS,SI_INDEMNITY,SI_CDHP,MEDICARE_ADVANTAGE_PART_C,PAYER_MANAGED_MEDICAID,MGD_MEDICAID_TITLE_19,MGD_MEDICAID_TITLE_21_CHIP,MGD_MEDICAID_SPECIALTY_PROGRAMS,MANAGED_MEDICAID_DUAL_ELIGIBLE,TRICARE,OVERALL_PCT,COMMERCIAL_PCT,COMMERCIAL_FI_PCT,FI_HMO_PCT,FI_PPO_PCT,FI_POS_PCT,FI_INDEMNITY_PCT,PUBLIC_HIX_INDIVIDUAL_PCT,PUBLIC_HIX_SHOP_PCT,FI_CDHP_PCT,COMMERCIAL_SI_PCT,SI_HMO_PCT,SI_PPO_PCT,SI_POS_PCT,SI_INDEMNITY_PCT,SI_CDHP_PCT,MEDICARE_ADVANTAGE_PART_C_PCT,PAYER_MANAGED_MEDICAID_PCT,MGD_MEDICAID_TITLE_19_PCT,MGD_MEDICAID_TITLE_21_CHIP_PCT,MGD_MEDICAID_SPECIALTY_PROGRAMS_PCT,MANAGED_MEDICAID_DUAL_ELIGIBLE_PCT,TRICARE_PCT,CREATED_AT
Alaska,Pennsylvania Public School Employees` Retirement,2128,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,PacificSource Health,1165,,,125,123,123,0,123,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0300,0.0300,0.1000,0.0000,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,PacificSource Health,1165,PacificSource Health,453,125,123,123,0,123,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0300,0.0300,0.1000,0.0000,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,NALC Health Benefit,2379,NALC Health Benefit,1024,421,421,421,0,421,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1100,0.1100,0.3300,0.0000,0.4200,0.0000,0.0000,0.0000,0.0000,1.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,NALC Health Benefit,2379,,,421,421,421,0,421,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1100,0.1100,0.3300,0.0000,0.4200,0.0000,0.0000,0.0000,0.0000,1.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Molina Healthcare,1142,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Molina Healthcare,1142,Molina Healthcare,1022,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Moda Health,2271,,,10139,10139,10139,0,3153,0,0,6986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7100,2.7200,8.0600,0.0000,3.1600,0.0000,0.0000,28.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Moda Health,2271,Moda Health,438,10139,10139,10139,0,3153,0,0,6986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7100,2.7200,8.0600,0.0000,3.1600,0.0000,0.0000,28.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Medica (MN),1127,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Medica (MN),1127,Dean Health Plan by Medica,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Medical Mutual,1129,Medical Mutual,391,5,5,5,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Medical Mutual,1129,,,5,5,5,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Mail Handlers Benefit,2442,,,1250,1250,1250,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3300,0.3400,0.9900,0.0000,1.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Mail Handlers Benefit,2442,Mail Handlers Benefit,1112,1250,1250,1250,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3300,0.3400,0.9900,0.0000,1.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Kaiser Permanente,1112,Kaiser Permanente,350,121,101,94,41,50,0,0,3,0,0,7,4,0,3,0,2,20,0,0,0,0,0,0,0.0300,0.0300,0.0700,9.9300,0.0500,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,50.0000,0.0000,0.0600,0.0000,0.0000,0.9600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Kaiser Permanente,1112,,,121,101,94,41,50,0,0,3,0,0,7,4,0,3,0,2,20,0,0,0,0,0,0,0.0300,0.0300,0.0700,9.9300,0.0500,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,50.0000,0.0000,0.0600,0.0000,0.0000,0.9600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Humana,1100,Humana,329,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Humana,1100,,,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
Alaska,Horizon Blue Cross Blue Shield of New Jersey,1099,,,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2026-03-02 08:15:20.263 -0500
